customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
Allie Tuson,Negative,6,10/17/2020,Billing Question,North Las Vegas,Nevada,Chatbot,Below SLA,38,Los Angeles/CA
Phillie Axston,Neutral,,10/23/2020,Billing Question,Baltimore,Maryland,Call-Center,Within SLA,30,Chicago/IL
Germayne Aslott,Positive,8,10-06-2020,Billing Question,Colorado Springs,Colorado,Web,Below SLA,9,Chicago/IL
Haily Rubens,Negative,4,10/24/2020,Service Outage,Carol Stream,Illinois,Web,Within SLA,29,Baltimore/MD
Ulric McCrann,Neutral,,10/14/2020,Billing Question,Dallas,Texas,Email,Within SLA,39,Baltimore/MD
North Bolt,Very Negative,2,10/20/2020,Billing Question,Mesquite,Texas,Chatbot,Within SLA,29,Baltimore/MD
Pammie Edser,Negative,4,10-12-2020,Billing Question,Saint Paul,Minnesota,Web,Within SLA,35,Los Angeles/CA
Paddy Sabate,Neutral,8,10-07-2020,Billing Question,Atlanta,Georgia,Web,Within SLA,5,Baltimore/MD
Angel Rhodes,Very Negative,,10/28/2020,Payments,Abilene,Texas,Call-Center,Above SLA,44,Los Angeles/CA
Mirabel Rispine,Negative,6,10/18/2020,Billing Question,Fort Wayne,Indiana,Call-Center,Within SLA,22,Chicago/IL
Ashla Westwick,Negative,,10-06-2020,Billing Question,Birmingham,Alabama,Chatbot,Below SLA,24,Chicago/IL
Derby Basterfield,Negative,6,10/17/2020,Billing Question,Los Angeles,California,Email,Within SLA,44,Los Angeles/CA
Randall Niblett,Very Positive,,10/21/2020,Billing Question,Austin,Texas,Email,Within SLA,36,Los Angeles/CA
Guenevere Rathke,Neutral,,10-02-2020,Billing Question,Milwaukee,Wisconsin,Web,Within SLA,35,Los Angeles/CA
Haskell Culshaw,Positive,,10/15/2020,Billing Question,Des Moines,Iowa,Call-Center,Above SLA,30,Los Angeles/CA
Christi Swapp,Negative,,10/28/2020,Billing Question,Amarillo,Texas,Email,Below SLA,9,Baltimore/MD
Otha de Werk,Positive,8,10-05-2020,Billing Question,Macon,Georgia,Chatbot,Above SLA,31,Baltimore/MD
Alejandro Undrill,Very Positive,,10-01-2020,Service Outage,Clearwater,Florida,Chatbot,Within SLA,5,Baltimore/MD
Melloney Malyon,Very Positive,,10/18/2020,Billing Question,Memphis,Tennessee,Email,Below SLA,43,Baltimore/MD
Karalynn Finders,Neutral,,10/15/2020,Billing Question,Mobile,Alabama,Chatbot,Above SLA,10,Los Angeles/CA
Gale Apps,Neutral,,10-04-2020,Billing Question,Albany,New York,Email,Within SLA,12,Los Angeles/CA
Rozina Goudy,Very Positive,10,10/25/2020,Billing Question,Levittown,Pennsylvania,Call-Center,Within SLA,25,Los Angeles/CA
Marne Spincke,Very Negative,2,10-02-2020,Billing Question,Danbury,Connecticut,Chatbot,Within SLA,34,Los Angeles/CA
Jeana Cathesyed,Positive,,10/26/2020,Billing Question,Montgomery,Alabama,Chatbot,Within SLA,6,Los Angeles/CA
Catharina Mowday,Very Negative,,10-06-2020,Billing Question,Santa Barbara,California,Chatbot,Within SLA,30,Los Angeles/CA
Selby Shemelt,Negative,,10/21/2020,Billing Question,Vero Beach,Florida,Web,Within SLA,24,Baltimore/MD
Theo Raycroft,Negative,,10-07-2020,Billing Question,Montpelier,Vermont,Web,Within SLA,42,Los Angeles/CA
Noelani Wynne,Positive,,10/16/2020,Billing Question,Hartford,Connecticut,Call-Center,Above SLA,43,Denver/CO
Derril Reiach,Negative,,10-07-2020,Payments,Sioux Falls,South Dakota,Call-Center,Above SLA,45,Los Angeles/CA
Amory Fonzo,Neutral,,10/19/2020,Service Outage,Cedar Rapids,Iowa,Email,Below SLA,25,Los Angeles/CA
Manda Rees,Neutral,,10-02-2020,Billing Question,Washington,District of Columbia,Email,Within SLA,31,Baltimore/MD
Jammie Dulake,Positive,,10/18/2020,Billing Question,El Paso,Texas,Email,Within SLA,10,Baltimore/MD
Osbourn Victor,Neutral,8,10-11-2020,Billing Question,Portland,Oregon,Chatbot,Below SLA,33,Baltimore/MD
Averyl Scudder,Negative,,10-05-2020,Service Outage,Naples,Florida,Chatbot,Below SLA,22,Chicago/IL
Brodie Yearron,Negative,3,10-05-2020,Billing Question,Washington,District of Columbia,Email,Within SLA,12,Los Angeles/CA
Michel Cordrey,Very Negative,1,10-01-2020,Billing Question,Schenectady,New York,Chatbot,Within SLA,42,Los Angeles/CA
Rubie Bleibaum,Negative,4,10/17/2020,Billing Question,New Orleans,Louisiana,Web,Within SLA,45,Los Angeles/CA
Min Leathers,Neutral,6,10-06-2020,Service Outage,Rockford,Illinois,Email,Below SLA,31,Baltimore/MD
Edith Jaggi,Positive,,10/28/2020,Billing Question,Dallas,Texas,Call-Center,Within SLA,9,Baltimore/MD
Dulci Grimstead,Very Negative,,10-08-2020,Billing Question,Washington,District of Columbia,Web,Within SLA,23,Chicago/IL
Palm Lannon,Negative,6,10/28/2020,Billing Question,Anchorage,Alaska,Chatbot,Within SLA,37,Chicago/IL
Samuele O'Carrol,Negative,,10/16/2020,Billing Question,Albuquerque,New Mexico,Call-Center,Within SLA,17,Baltimore/MD
Sadella Oehm,Positive,7,10/26/2020,Billing Question,Honolulu,Hawaii,Chatbot,Within SLA,28,Los Angeles/CA
Hazel Bruffell,Negative,,10-01-2020,Payments,Tulsa,Oklahoma,Call-Center,Within SLA,16,Los Angeles/CA
Mara Risley,Neutral,,10/20/2020,Billing Question,Evansville,Indiana,Email,Below SLA,40,Baltimore/MD
Shaylah Fawdrey,Negative,,10-06-2020,Billing Question,North Port,Florida,Chatbot,Within SLA,23,Los Angeles/CA
Wilone McGarvey,Neutral,8,10-02-2020,Billing Question,Springfield,Virginia,Email,Within SLA,26,Denver/CO
Eada Strase,Negative,,10/24/2020,Payments,Amarillo,Texas,Call-Center,Above SLA,32,Chicago/IL
Sholom Petworth,Negative,,10/15/2020,Billing Question,San Diego,California,Chatbot,Below SLA,24,Chicago/IL
Florentia End,Negative,,10/20/2020,Billing Question,White Plains,New York,Chatbot,Within SLA,37,Chicago/IL
Nicolette Beddo,Very Positive,,10-09-2020,Billing Question,New Castle,Pennsylvania,Web,Below SLA,22,Los Angeles/CA
Reade Scown,Negative,3,10-01-2020,Service Outage,Omaha,Nebraska,Web,Within SLA,31,Los Angeles/CA
Jermain Bellingham,Positive,8,10/18/2020,Billing Question,Memphis,Tennessee,Email,Within SLA,32,Los Angeles/CA
Meg Thynn,Neutral,,10/22/2020,Billing Question,Virginia Beach,Virginia,Web,Within SLA,5,Baltimore/MD
Caresse Volkes,Very Negative,,10/20/2020,Payments,Washington,District of Columbia,Call-Center,Below SLA,13,Los Angeles/CA
Vinny Renard,Negative,3,10/18/2020,Billing Question,Austin,Texas,Call-Center,Within SLA,7,Los Angeles/CA
Stanislaus Fleet,Very Negative,1,10/26/2020,Billing Question,Staten Island,New York,Email,Within SLA,18,Baltimore/MD
Rodolphe Rosbottom,Negative,4,10-12-2020,Billing Question,Atlanta,Georgia,Email,Within SLA,16,Denver/CO
Justine Richter,Very Negative,,10/25/2020,Billing Question,Topeka,Kansas,Call-Center,Within SLA,19,Los Angeles/CA
Thorsten Bedson,Negative,4,10/27/2020,Payments,Pasadena,California,Call-Center,Within SLA,19,Baltimore/MD
Ashlee Heathfield,Very Negative,,10/13/2020,Billing Question,Tampa,Florida,Call-Center,Within SLA,21,Chicago/IL
Gunilla Seabon,Negative,4,10-12-2020,Billing Question,Stockton,California,Email,Within SLA,24,Chicago/IL
Keelby Ailward,Very Positive,,10-08-2020,Billing Question,Fresno,California,Chatbot,Within SLA,35,Los Angeles/CA
Pearce Cicconetti,Neutral,,10/13/2020,Service Outage,Mobile,Alabama,Chatbot,Below SLA,18,Chicago/IL
Gabbie Ruste,Very Positive,10,10-03-2020,Payments,Toledo,Ohio,Call-Center,Below SLA,33,Denver/CO
Jammal Cusick,Very Negative,4,10/16/2020,Payments,Springfield,Massachusetts,Call-Center,Within SLA,41,Los Angeles/CA
Randal Croydon,Negative,,10/24/2020,Billing Question,Salt Lake City,Utah,Web,Within SLA,39,Denver/CO
Mylo Rowlin,Negative,,10-04-2020,Service Outage,Durham,North Carolina,Chatbot,Below SLA,14,Los Angeles/CA
Zachary Bashford,Positive,,10-09-2020,Billing Question,Fayetteville,North Carolina,Email,Within SLA,26,Los Angeles/CA
Eliot Mundell,Negative,,10/30/2020,Billing Question,Mobile,Alabama,Email,Within SLA,32,Baltimore/MD
Cecelia Clacson,Negative,4,10/19/2020,Service Outage,Jamaica,New York,Web,Above SLA,17,Baltimore/MD
Virgilio Coweuppe,Negative,,10-05-2020,Billing Question,Boston,Massachusetts,Chatbot,Within SLA,31,Baltimore/MD
Brandise Gookes,Neutral,,10/26/2020,Billing Question,Cleveland,Ohio,Chatbot,Within SLA,31,Los Angeles/CA
Joanie Isley,Very Positive,10,10/17/2020,Billing Question,Louisville,Kentucky,Email,Within SLA,5,Los Angeles/CA
Charity Costar,Negative,,10/23/2020,Billing Question,Palo Alto,California,Call-Center,Within SLA,45,Baltimore/MD
Eal Breed,Negative,,10/15/2020,Billing Question,Murfreesboro,Tennessee,Web,Within SLA,40,Los Angeles/CA
Tera Botha,Neutral,,10/24/2020,Billing Question,New York City,New York,Call-Center,Within SLA,10,Denver/CO
Kirk Chelam,Very Negative,,10-04-2020,Billing Question,Phoenix,Arizona,Call-Center,Within SLA,32,Baltimore/MD
Melesa Daddow,Very Negative,,10/15/2020,Billing Question,Oklahoma City,Oklahoma,Call-Center,Within SLA,27,Los Angeles/CA
Aldous Mees,Neutral,,10/16/2020,Billing Question,Bellevue,Washington,Chatbot,Within SLA,25,Baltimore/MD
Ferdie Roggerone,Neutral,,10/22/2020,Payments,Toledo,Ohio,Call-Center,Within SLA,25,Chicago/IL
Judy Issitt,Very Positive,,10/17/2020,Payments,Greensboro,North Carolina,Call-Center,Within SLA,18,Chicago/IL
Bobbie Victory,Neutral,7,10/24/2020,Billing Question,Dayton,Ohio,Chatbot,Below SLA,25,Los Angeles/CA
Theo Chantree,Positive,9,10/17/2020,Payments,Columbus,Ohio,Call-Center,Within SLA,16,Chicago/IL
Spike Dunge,Neutral,,10/21/2020,Billing Question,Saint Louis,Missouri,Email,Above SLA,19,Chicago/IL
Jacinda Satterley,Very Negative,,10-07-2020,Billing Question,Baton Rouge,Louisiana,Chatbot,Within SLA,41,Baltimore/MD
Ardisj Hoggin,Negative,,10/18/2020,Billing Question,Dallas,Texas,Chatbot,Within SLA,12,Los Angeles/CA
Heriberto Jencken,Very Negative,,10-11-2020,Billing Question,San Diego,California,Web,Below SLA,34,Denver/CO
Fiona Lates,Neutral,5,10-08-2020,Billing Question,Fort Worth,Texas,Web,Above SLA,10,Baltimore/MD
Gregorio Mc Corley,Neutral,,10/19/2020,Payments,Cleveland,Ohio,Call-Center,Within SLA,26,Baltimore/MD
L;urette Negal,Very Negative,,10/16/2020,Payments,Racine,Wisconsin,Call-Center,Within SLA,23,Baltimore/MD
Erin Ferreli,Negative,3,10/16/2020,Billing Question,Long Beach,California,Web,Above SLA,9,Chicago/IL
Adelheid Atcheson,Very Positive,10,10/24/2020,Payments,Hot Springs National Park,Arkansas,Call-Center,Within SLA,43,Baltimore/MD
Elisha Redington,Negative,,10/18/2020,Billing Question,Boca Raton,Florida,Chatbot,Within SLA,20,Los Angeles/CA
Oby Avrasin,Neutral,8,10/25/2020,Billing Question,Crawfordsville,Indiana,Call-Center,Within SLA,18,Baltimore/MD
Gray Bengal,Very Positive,,10/14/2020,Billing Question,Helena,Montana,Web,Above SLA,19,Baltimore/MD
Goran Grishakov,Negative,5,10/20/2020,Service Outage,Chicago,Illinois,Email,Within SLA,30,Baltimore/MD
Quinlan Diggons,Neutral,,10/24/2020,Payments,Saint Paul,Minnesota,Call-Center,Within SLA,45,Los Angeles/CA
Delores Sibborn,Negative,6,10-07-2020,Service Outage,Reno,Nevada,Chatbot,Below SLA,15,Los Angeles/CA
Gerhardt Ramet,Negative,6,10-04-2020,Billing Question,Fort Wayne,Indiana,Chatbot,Within SLA,25,Baltimore/MD
Mathias Rainbird,Very Positive,,10/28/2020,Service Outage,Baltimore,Maryland,Web,Within SLA,29,Los Angeles/CA
Delmer Scamal,Negative,6,10-09-2020,Billing Question,Schaumburg,Illinois,Email,Above SLA,28,Los Angeles/CA
Leena Bodemeaid,Very Negative,,10/13/2020,Billing Question,Springfield,Illinois,Call-Center,Within SLA,11,Baltimore/MD
Dorry Feander,Very Negative,3,10-10-2020,Billing Question,Sacramento,California,Chatbot,Within SLA,25,Los Angeles/CA
Archer Roony,Neutral,,10/17/2020,Payments,Columbus,Ohio,Call-Center,Within SLA,16,Baltimore/MD
Juieta Rengger,Very Negative,,10-02-2020,Billing Question,Bakersfield,California,Web,Below SLA,38,Baltimore/MD
Freedman Acom,Negative,6,10/13/2020,Billing Question,Knoxville,Tennessee,Call-Center,Within SLA,31,Los Angeles/CA
Alaster McEvon,Negative,,10-04-2020,Billing Question,Springfield,Illinois,Web,Below SLA,14,Los Angeles/CA
Bertina Mushrow,Very Negative,,10-05-2020,Billing Question,Albuquerque,New Mexico,Email,Within SLA,7,Baltimore/MD
Dacie Janowicz,Very Negative,,10/14/2020,Billing Question,Panama City,Florida,Chatbot,Below SLA,18,Baltimore/MD
Carleton Joney,Neutral,,10/22/2020,Billing Question,Amarillo,Texas,Web,Below SLA,32,Baltimore/MD
Ryun Loxley,Very Negative,,10-03-2020,Service Outage,Cleveland,Ohio,Chatbot,Within SLA,28,Baltimore/MD
Rena Doig,Neutral,,10/28/2020,Billing Question,Palm Bay,Florida,Chatbot,Within SLA,22,Los Angeles/CA
Welch Ickovicz,Very Negative,,10/17/2020,Billing Question,Waco,Texas,Email,Below SLA,13,Baltimore/MD
Marcy Angrock,Very Positive,,10/13/2020,Billing Question,Buffalo,New York,Email,Below SLA,28,Los Angeles/CA
Larina Facer,Negative,3,10-10-2020,Billing Question,Baton Rouge,Louisiana,Call-Center,Above SLA,17,Chicago/IL
Terrence Brokenshire,Positive,7,10-02-2020,Billing Question,Tallahassee,Florida,Chatbot,Within SLA,35,Denver/CO
Leta Anglish,Positive,9,10-09-2020,Billing Question,Orlando,Florida,Web,Below SLA,37,Los Angeles/CA
Bartolemo Gettens,Very Negative,,10/21/2020,Billing Question,Oakland,California,Call-Center,Below SLA,30,Los Angeles/CA
Kingsley Burne,Neutral,8,10-11-2020,Billing Question,Houston,Texas,Chatbot,Within SLA,30,Baltimore/MD
Keelby Hoggins,Positive,7,10/27/2020,Billing Question,Charleston,South Carolina,Web,Within SLA,15,Chicago/IL
Francesco Turmel,Negative,,10/16/2020,Service Outage,Charlotte,North Carolina,Web,Within SLA,42,Los Angeles/CA
Minna Barge,Very Negative,3,10/26/2020,Billing Question,Bronx,New York,Chatbot,Within SLA,37,Chicago/IL
Adrienne Corps,Very Negative,1,10/18/2020,Billing Question,Savannah,Georgia,Email,Within SLA,28,Los Angeles/CA
Madelyn Seavers,Negative,,10/18/2020,Billing Question,Albuquerque,New Mexico,Email,Above SLA,44,Los Angeles/CA
Jamal Schelle,Neutral,7,10/22/2020,Billing Question,El Paso,Texas,Call-Center,Above SLA,5,Los Angeles/CA
Demetris Holbarrow,Negative,,10-02-2020,Billing Question,Augusta,Georgia,Web,Within SLA,18,Chicago/IL
Ashton Teodorski,Negative,,10/29/2020,Billing Question,Evansville,Indiana,Chatbot,Within SLA,16,Chicago/IL
Jerry Raulstone,Very Negative,,10-04-2020,Billing Question,Metairie,Louisiana,Email,Within SLA,27,Baltimore/MD
Willy Suttaby,Positive,,10/30/2020,Billing Question,Dallas,Texas,Email,Within SLA,22,Chicago/IL
Betteann Billingham,Positive,,10/28/2020,Service Outage,Washington,District of Columbia,Chatbot,Within SLA,36,Chicago/IL
Pepillo Kaspar,Neutral,,10/19/2020,Billing Question,Minneapolis,Minnesota,Call-Center,Below SLA,12,Denver/CO
Guglielma Somers,Neutral,,10/27/2020,Billing Question,Saginaw,Michigan,Call-Center,Within SLA,9,Baltimore/MD
Lanny Apted,Very Negative,,10/27/2020,Service Outage,New Brunswick,New Jersey,Web,Below SLA,30,Baltimore/MD
Theodora Girton,Very Positive,,10/15/2020,Service Outage,Wichita Falls,Texas,Email,Within SLA,42,Baltimore/MD
Annnora Geraldo,Positive,8,10/27/2020,Service Outage,San Angelo,Texas,Email,Within SLA,39,Los Angeles/CA
Ally Fain,Negative,,10-04-2020,Billing Question,Chicago,Illinois,Email,Within SLA,9,Baltimore/MD
Niccolo Blazewicz,Negative,,10/19/2020,Billing Question,Fort Worth,Texas,Chatbot,Within SLA,11,Los Angeles/CA
Florinda Mateev,Neutral,5,10/19/2020,Billing Question,Reno,Nevada,Web,Below SLA,9,Los Angeles/CA
Powell Duggleby,Positive,,10-01-2020,Payments,Washington,District of Columbia,Call-Center,Above SLA,9,Los Angeles/CA
Gleda Gillhespy,Very Negative,,10/24/2020,Billing Question,Akron,Ohio,Email,Within SLA,45,Los Angeles/CA
Nara Scutter,Neutral,,10/23/2020,Billing Question,Nashville,Tennessee,Web,Below SLA,21,Los Angeles/CA
Astrid Airds,Negative,,10/28/2020,Billing Question,Palmdale,California,Email,Below SLA,16,Baltimore/MD
Nelly Dundredge,Neutral,,10-02-2020,Billing Question,Levittown,Pennsylvania,Chatbot,Below SLA,30,Los Angeles/CA
Zacharia Ascraft,Very Negative,,10-10-2020,Billing Question,Oakland,California,Call-Center,Below SLA,20,Baltimore/MD
Dalia Spittal,Very Negative,,10/19/2020,Billing Question,Pensacola,Florida,Email,Below SLA,44,Baltimore/MD
Tamiko Beade,Positive,,10-12-2020,Billing Question,Fresno,California,Email,Within SLA,29,Chicago/IL
Fifi Phippin,Neutral,5,10-12-2020,Billing Question,San Antonio,Texas,Call-Center,Above SLA,41,Baltimore/MD
Jessa Keaton,Negative,,10/25/2020,Billing Question,San Francisco,California,Chatbot,Within SLA,8,Los Angeles/CA
Lucilia Ousley,Very Positive,10,10/17/2020,Billing Question,Naples,Florida,Email,Above SLA,28,Los Angeles/CA
Roselin Pauli,Very Positive,9,10/21/2020,Billing Question,Austin,Texas,Email,Within SLA,18,Baltimore/MD
Sibeal Fairholme,Neutral,,10/14/2020,Billing Question,San Jose,California,Call-Center,Within SLA,26,Baltimore/MD
Morgan Ribbens,Neutral,,10/13/2020,Billing Question,Pasadena,California,Call-Center,Within SLA,11,Chicago/IL
Lorine Cressar,Very Negative,2,10/20/2020,Billing Question,Cincinnati,Ohio,Chatbot,Within SLA,41,Baltimore/MD
Imogene Gonnin,Neutral,,10/29/2020,Billing Question,Austin,Texas,Web,Within SLA,42,Los Angeles/CA
Corbett Dorcey,Very Negative,,10-12-2020,Billing Question,Idaho Falls,Idaho,Email,Above SLA,33,Los Angeles/CA
Johannah Pavlovsky,Very Negative,,10-02-2020,Billing Question,Warren,Ohio,Call-Center,Within SLA,12,Baltimore/MD
Emogene Hanson,Positive,,10/22/2020,Service Outage,Chicago,Illinois,Chatbot,Within SLA,15,Chicago/IL
Devi Abbie,Neutral,5,10/16/2020,Billing Question,Bonita Springs,Florida,Web,Below SLA,39,Baltimore/MD
Claudetta Whitecross,Neutral,,10-10-2020,Billing Question,Anaheim,California,Chatbot,Within SLA,41,Chicago/IL
Kyrstin O' Connell,Very Negative,3,10-04-2020,Payments,Sioux Falls,South Dakota,Call-Center,Below SLA,19,Los Angeles/CA
Aubrey Ferrari,Very Negative,,10/17/2020,Billing Question,Fort Smith,Arkansas,Email,Within SLA,29,Los Angeles/CA
Benedicta Castelyn,Neutral,8,10-01-2020,Billing Question,Chicago,Illinois,Chatbot,Below SLA,36,Los Angeles/CA
Hobie Unstead,Very Positive,10,10-11-2020,Billing Question,Boulder,Colorado,Call-Center,Within SLA,15,Los Angeles/CA
Agnes Javes,Negative,,10/29/2020,Billing Question,Shreveport,Louisiana,Call-Center,Within SLA,19,Baltimore/MD
Lenette Rawstron,Very Negative,3,10/22/2020,Billing Question,San Diego,California,Call-Center,Below SLA,18,Baltimore/MD
Taber Lankester,Negative,,10/16/2020,Billing Question,Punta Gorda,Florida,Web,Below SLA,36,Chicago/IL
Blondelle Constable,Very Negative,4,10/29/2020,Billing Question,Denver,Colorado,Email,Within SLA,28,Baltimore/MD
Fairlie Throssell,Neutral,5,10-04-2020,Payments,Winston Salem,North Carolina,Call-Center,Within SLA,8,Baltimore/MD
Fanni Harry,Very Negative,,10-12-2020,Billing Question,Boston,Massachusetts,Web,Within SLA,41,Baltimore/MD
Ritchie Kermott,Negative,,10/18/2020,Payments,Memphis,Tennessee,Call-Center,Within SLA,36,Los Angeles/CA
Meir Martello,Neutral,8,10/17/2020,Payments,West Palm Beach,Florida,Call-Center,Within SLA,20,Los Angeles/CA
Lanny Dumigan,Positive,9,10/25/2020,Billing Question,Tulsa,Oklahoma,Call-Center,Below SLA,7,Chicago/IL
Elmer Bake,Positive,,10-11-2020,Billing Question,Sacramento,California,Email,Below SLA,10,Baltimore/MD
Sibby Caesar,Negative,,10/17/2020,Billing Question,Cincinnati,Ohio,Call-Center,Above SLA,10,Baltimore/MD
Ellerey Jenno,Neutral,,10-01-2020,Billing Question,Saint Louis,Missouri,Chatbot,Above SLA,17,Los Angeles/CA
Basia Darrel,Negative,,10/21/2020,Service Outage,Roanoke,Virginia,Email,Within SLA,35,Los Angeles/CA
Ulysses Ringe,Neutral,8,10/16/2020,Billing Question,Phoenix,Arizona,Call-Center,Within SLA,43,Los Angeles/CA
Fayette Headley,Negative,6,10/28/2020,Billing Question,Irvine,California,Web,Within SLA,16,Denver/CO
Tobi Golbourn,Negative,,10/21/2020,Billing Question,Cleveland,Ohio,Web,Within SLA,36,Los Angeles/CA
Alyssa Brugden,Negative,,10-10-2020,Billing Question,Paterson,New Jersey,Call-Center,Within SLA,32,Los Angeles/CA
Byrom Quinell,Negative,,10/17/2020,Payments,New Haven,Connecticut,Call-Center,Within SLA,21,Los Angeles/CA
Jere Piggen,Neutral,,10-10-2020,Billing Question,Newark,New Jersey,Call-Center,Within SLA,22,Denver/CO
Gerrilee Delgadillo,Neutral,5,10/15/2020,Billing Question,Dayton,Ohio,Call-Center,Below SLA,7,Baltimore/MD
Dede Garrie,Neutral,7,10/18/2020,Billing Question,San Jose,California,Chatbot,Within SLA,34,Baltimore/MD
Quintus Donohoe,Neutral,,10/30/2020,Service Outage,Fort Wayne,Indiana,Email,Within SLA,40,Baltimore/MD
Sandy Forseith,Neutral,6,10/20/2020,Service Outage,Philadelphia,Pennsylvania,Email,Below SLA,32,Baltimore/MD
Martyn Fahrenbach,Negative,,10/25/2020,Payments,Detroit,Michigan,Call-Center,Below SLA,19,Los Angeles/CA
Rosene Grigorini,Negative,,10-12-2020,Billing Question,Kissimmee,Florida,Email,Below SLA,38,Denver/CO
Shayna Heustace,Negative,4,10/16/2020,Service Outage,San Francisco,California,Chatbot,Above SLA,36,Baltimore/MD
Blair Dimmne,Neutral,8,10-01-2020,Payments,Bryan,Texas,Call-Center,Within SLA,41,Los Angeles/CA
Nanete Jervois,Very Positive,,10-11-2020,Billing Question,Yakima,Washington,Chatbot,Within SLA,14,Baltimore/MD
Baillie Matijevic,Very Negative,2,10/28/2020,Billing Question,Hollywood,Florida,Call-Center,Within SLA,9,Los Angeles/CA
Codi Chipman,Neutral,,10/30/2020,Billing Question,Baltimore,Maryland,Web,Within SLA,42,Los Angeles/CA
Tomi Kilford,Neutral,,10-08-2020,Billing Question,Huntington,West Virginia,Email,Within SLA,21,Denver/CO
Rozina Mackiewicz,Negative,5,10-02-2020,Billing Question,South Bend,Indiana,Email,Within SLA,17,Baltimore/MD
Suzie Booth,Very Positive,,10-05-2020,Billing Question,Birmingham,Alabama,Web,Within SLA,37,Baltimore/MD
Hurlee Tregale,Negative,,10/26/2020,Billing Question,Miami,Florida,Call-Center,Within SLA,22,Baltimore/MD
Simone Dorling,Positive,,10/20/2020,Billing Question,Brea,California,Web,Within SLA,9,Los Angeles/CA
Laughton Cardello,Neutral,,10/23/2020,Billing Question,Columbia,South Carolina,Web,Within SLA,24,Los Angeles/CA
Beryle Keep,Negative,,10/27/2020,Billing Question,El Paso,Texas,Chatbot,Within SLA,42,Los Angeles/CA
Gare Mottley,Very Negative,,10/21/2020,Billing Question,Seattle,Washington,Email,Below SLA,10,Los Angeles/CA
Fredrika MacKimmie,Very Negative,2,10/15/2020,Billing Question,Chicago,Illinois,Web,Within SLA,25,Denver/CO
Vaughn Caig,Negative,,10-02-2020,Payments,San Antonio,Texas,Call-Center,Within SLA,17,Baltimore/MD
Nell Leyborne,Very Positive,10,10/26/2020,Payments,El Paso,Texas,Call-Center,Within SLA,42,Baltimore/MD
Beverly Waren,Negative,,10-05-2020,Billing Question,Syracuse,New York,Web,Below SLA,45,Los Angeles/CA
Christin Izzat,Very Negative,,10/24/2020,Billing Question,Chicago,Illinois,Email,Above SLA,40,Chicago/IL
Norina Laing,Very Negative,2,10-09-2020,Billing Question,San Antonio,Texas,Email,Within SLA,17,Los Angeles/CA
Gibb Aitchinson,Very Positive,10,10-03-2020,Payments,Baltimore,Maryland,Call-Center,Within SLA,35,Chicago/IL
Jordan Iacomelli,Neutral,7,10/28/2020,Billing Question,San Bernardino,California,Email,Within SLA,15,Chicago/IL
Aundrea Shevlin,Negative,6,10-02-2020,Billing Question,Sacramento,California,Chatbot,Below SLA,29,Los Angeles/CA
Coriss Errington,Negative,,10-02-2020,Billing Question,Oklahoma City,Oklahoma,Chatbot,Within SLA,12,Los Angeles/CA
Cal Cowely,Very Positive,,10/22/2020,Billing Question,Fort Worth,Texas,Web,Within SLA,15,Baltimore/MD
Emmaline Hallock,Neutral,6,10-08-2020,Service Outage,Philadelphia,Pennsylvania,Web,Below SLA,28,Los Angeles/CA
Kore Martel,Negative,6,10-02-2020,Payments,Huntington,West Virginia,Call-Center,Within SLA,33,Chicago/IL
Christiane Geale,Positive,,10/22/2020,Billing Question,Kansas City,Missouri,Email,Within SLA,41,Los Angeles/CA
Hillier McNirlan,Negative,,10-08-2020,Payments,Denver,Colorado,Call-Center,Within SLA,22,Baltimore/MD
Valaree Flury,Very Negative,,10/14/2020,Billing Question,Miami,Florida,Web,Below SLA,8,Los Angeles/CA
Benjamen Bottrell,Neutral,8,10/16/2020,Payments,Jamaica,New York,Call-Center,Below SLA,26,Los Angeles/CA
Pammy Praill,Neutral,6,10/15/2020,Payments,Flushing,New York,Call-Center,Below SLA,35,Los Angeles/CA
Darlene Coate,Very Positive,,10-03-2020,Billing Question,Newark,New Jersey,Email,Below SLA,30,Baltimore/MD
Aliza Gritten,Positive,,10/14/2020,Billing Question,Houston,Texas,Web,Above SLA,14,Los Angeles/CA
Bennie Ions,Very Negative,,10-04-2020,Billing Question,Lansing,Michigan,Email,Below SLA,31,Los Angeles/CA
Bank Ghirigori,Very Positive,,10/13/2020,Billing Question,Killeen,Texas,Web,Within SLA,22,Baltimore/MD
Wolfgang Pimlock,Neutral,,10/16/2020,Payments,Roanoke,Virginia,Call-Center,Below SLA,7,Denver/CO
Dee dee Rosenbloom,Negative,,10-10-2020,Billing Question,Fullerton,California,Email,Within SLA,13,Baltimore/MD
Artus Mathivat,Negative,,10-03-2020,Billing Question,Cumming,Georgia,Email,Within SLA,34,Denver/CO
Terrill Goligly,Very Positive,10,10/15/2020,Billing Question,Jacksonville,Florida,Email,Within SLA,27,Los Angeles/CA
Erika Hounsom,Negative,,10/29/2020,Billing Question,Colorado Springs,Colorado,Chatbot,Within SLA,29,Chicago/IL
Micaela Songest,Negative,,10/28/2020,Billing Question,Jacksonville,Florida,Web,Below SLA,18,Chicago/IL
Sue Coat,Very Negative,,10/21/2020,Service Outage,Racine,Wisconsin,Email,Below SLA,6,Los Angeles/CA
